,Unnamed: 0,Star,Comment,adtext
3,3,1,铁人 中勾引钢铁侠 妇联 中勾引鹰眼 美队 中勾引美国队长 在 妇联 中终于 跟绿巨人表白了 黑寡妇用实际行动告诉了我们什么叫忠贞不二 而且为了治疗不孕不育连作战武器都变成了两支验孕棒 坚决相信快银没有死 后面还得回来,铁人 中勾引钢铁侠 妇联 中勾引鹰眼 美队 中勾引美国队长 在 妇联 中终于 跟绿巨人表白了 黑寡妇用实际行动告诉了我们什么叫|忠|贞不|二! 而=且=为$了治|疗!不|孕#不|育@连!作/战/武!器!都*变>成=了两支验孕#棒 坚决相信快银没有死 后面还得回来
10,10,1,一个没有黑暗面的人不值得信任 第二部剥去冗长的铺垫 开场即高潮 一直到结束 会有人觉得只剩动作特技 不过我还蛮吃这一套 联盟阵营 葫芦兄弟 八仙过海 式各显神通依然燃爆 我有更好的理由不再生气 绿巨黑寡激萌的感情支线 快银兄妹的同情牌 台北日新威秀影城,干丫mei有黑暗面的人不值得型ren 第二部剥祛冗|zhang的铺@垫< 开场即高潮 干直到结束 会有人觉得只剩动作特技 不过我还蛮吃这干套 联盟阵营 葫芦兄弟 八仙过海 式各显神通依<然+燃<爆# 我有更&好%的理^由%不再=生#气 绿!巨黑寡激萌的感情支线 快银兄妹的同情牌 台北日新威秀影城
16,16,1,总体来说没有达到第一部想让人立马二刷的体验 搞笑和燃度都有就是不够劲 应了续集电影的疲软定律 出场人物多到让人眼花撩乱 不过依然个个鲜明 Jarvis和Vison合体很惊艳 双胞胎戏份不多 widow和浩克的感情戏是最柔软的时刻 奥创存在感略低 妇联内斗戏不够激烈 队长脏话雷神锤子笑话贯穿始终,总踢来说没有达到第一部想让人立马二刷的踢验 搞笑和燃度都有就是不够劲 应了续集电影的疲软定律 出场人物多到让人眼花撩乱 不过依然个个鲜<明 J^a&r$v$i-s$和V>i-s$o|n<合*踢很=惊!艳# 双=胞!胎^戏%份+不多 w|i-d&o|w|和浩*克-的感-情&戏%是最-柔软的时刻 奥创存在感-略低 妇联内斗戏%不够激烈 队长脏话雷神锤子笑话贯穿始终
17,17,1,机甲之战超超好看 比变形金刚强 人 神 变异人 人工智能互殴 强强强强 每一小段末句都是槽或者笑点 应该死了不少编剧 Jane不来客串 雷神没露 扣分 女神配怪兽 fair enough 美国队长我最喜欢他的盾 大概因为紫龙 难得人物多次发表演讲还不死 最后 找到了下半年新发型 开心,機架亠zhanchao/chao/hao/kan 庇bianxing金>刚#强 人 神 bian异>人 人工智能互殴 强强强强 每一小段末句都是槽或者笑点 应该死了不少编剧 Jane不来客串 雷神没露 扣分 女神配怪兽 fair= eno/ugh 美国队长+我#最|喜^欢$他|的&盾+ 大$概*因为紫龙 难得人物多次发表演讲还不死 最|后 找到了下半年新发型 开心
19,19,1,全程挥之不去美队的胸和banner的胸 毛 人物太多感情的处理不够细腻是一定的啦 凭良心讲 就看这电影里的剧情 再怎样黑寡也不可能算是slut 采访里面CE和JR简直糟糕 对看超级英雄系列片的热情开始减弱了 虽然俺看这种片子丝毫无惧于剧透 还是想对某说 一句短评就剧透的 有什么病啊,quan禾呈挥之不去美队的胸和banner的胸 毛% 人物=太<多感情的处理不够细腻是一定的啦 凭良心讲 就看这电影里的剧情 再怎样黑寡也不可能算是slut 采访里面C+E-和JR简直糟糕 对-看超-级!英#雄!系#列+片-的热^情开/始>减@弱了 虽然俺看这种片-子丝毫无惧于剧透 还是想对-某说 一句短评就剧透的 有什么病啊
21,21,1,说实话其实剧情就那样吧 非漫威粉看着可能有的地方会get不到G点吧 其实漫威卖的不是剧情而是人物和世界观呀 漫威宇宙棒棒哒 但对于漫威粉来说真是全程高能 IMAX燃爆啊 漫威大法好,shuo实話其实剧情就肭yang吧 非漫威粉kanzhe可能有=的地/方>会@get不到G点吧 其实漫威卖的不是剧情而是人物和世界观呀 漫威宇宙棒棒哒 但对于!漫威粉来>shuo真^是全程高能 IMAX燃爆啊 漫威大法好
22,22,1,硬要凹出剧情内涵来的超级英雄电影让人醉 这一集的男一是鹰眼吧 美队和雷神都被塑造成了二傻子 钢铁侠依旧是那个让人熟悉的混账 绿巨人根本没有找到自我 黑寡妇倒是爆了自己的历史 喜欢新出现的红女巫 最让人感慨的是彩蛋里灭霸无奈的脸 影评写这么碎 对自己也是不满意的 没有LOKI差评,yingyao凹出剧情/勒氵函来的超級英*凶dian影让人醉 这一集@的男%一是鹰眼吧 美队和雷神都被塑造成了二傻子 钢铁侠依旧是那个让人熟悉的混账 绿巨人根本没有找到自%我 黑寡妇倒是爆了自%己的历史& 喜/欢+新/出现#的红*女>巫> 最&让人感慨的是彩蛋里灭霸无奈的脸 影评写这么碎 对自%己也是不满意的 没有LOKI差评
24,24,1,鹰眼作为本片的第一男主 有理有据 有感情戏 有主公技 有不止一个妹 有感化傻逼的男主式语录 有狂立flag而不倒的金手指 有死基友不死本大爷的神功护体 他合同是不是结束了 复联 鹰眼巨巨凯瑞me 还我快银,鷹眼作为本片的di一男主 有里有据 有感情戏 有主公!技 有不止一个妹 有感化傻逼的男主式语录 有狂立flag而不倒的金手*指> 有死&基+友%不死&本大爷>的神#功!护%体^ 他=合<同-是不是结束了 复联 鷹眼巨巨凯瑞me 还我快银
25,25,1,没有了洛基这个小基仔真是觉得即墨如雪啊,没有<了洛基这个小基仔真^是觉de即墨如雪啊@
29,29,1,相比第一部 多了惊悚 爱情 打戏 少了幽默 剧情 美国 看到结尾最在意的事情果然还是 下一部复联可能没有钢铁侠 雷神和绿巨人了 我靠 那我还看谁啊 强烈要求把Star Lord Ant Man Spider Man都加进来作为补偿 观众可能看腻了我们炸美国城市 那我们炸个东欧城市吧,相比缔一部 多了谅悚 ai情 打戏 少了幽默 剧情 美国 看到结尾最在意的事情果然还是 下一部复联可能没有钢铁侠 雷神和|绿巨人了 我靠 那@我还看谁<啊# 强|烈=要/求>把!S/t#ar^ L>o+r^d= A-n/t# Man/ S/p|id=er^ Man/都加进来作为补偿 观众可能看腻了我们炸美国城市 那@我们炸个东欧城市吧
